day,container,rubble_type,position,bt,ct,rt,ot,bs,cs,rs,os,bb,cb,rb,ob
0,1,cca,top,0,0,0,0,0,0,0,0,0,0,0,0
0,2,cca,top,0,0,0,0,0,0,0,0,0,0,0,0
0,2,bare,left,0,0,0,0,0,0,0,0,0,0,0,0
0,2,ram,right,0,0,0,0,0,0,0,0,0,0,0,0
0,3,bare,top,0,0,0,0,0,0,0,0,0,0,0,0
0,3,cca,left,0,0,0,0,0,0,0,0,0,0,0,0
0,3,ram,right,0,0,0,0,0,0,0,0,0,0,0,0
0,4,bare,bot,0,0,0,0,0,0,0,0,0,0,0,0
0,5,bare,bot,0,0,0,0,0,0,0,0,0,0,0,0
0,5,ram,left,0,0,0,0,0,0,0,0,0,0,0,0
0,5,cca,right,0,0,0,0,0,0,0,0,0,0,0,0
0,6,ram,bot,0,0,0,0,0,0,0,0,0,0,0,0
0,7,bare,top,0,0,0,0,0,0,0,0,0,0,0,0
0,7,ram,left,0,0,0,0,0,0,0,0,0,0,0,0
0,7,cca,right,0,0,0,0,0,0,0,0,0,0,0,0
0,8,cca,bot,0,0,0,0,0,0,0,0,0,0,0,0
0,8,ram,left,0,0,0,0,0,0,0,0,0,0,0,0
0,8,bare,right,0,0,0,0,0,0,0,0,0,0,0,0
0,9,ram,bot,0,0,0,0,0,0,0,0,0,0,0,0
0,9,cca,left,0,0,0,0,0,0,0,0,0,0,0,0
0,9,bare,right,0,0,0,0,0,0,0,0,0,0,0,0
3,1,cca,top,0,23,0,1,2,43,0,1,1,10,0,0
3,2,cca,top,0,25,0,0,8,4,0,0,1,0,0,0
3,2,bare,left,0,0,0,0,0,0,0,0,0,0,0,0
3,2,ram,right,0,3,1,0,6,26,0,0,1,0,0,0
3,3,bare,top,6,0,0,4,11,2,0,0,14,3,0,0
3,3,cca,left,12,15,0,0,3,2,0,0,0,5,0,0
3,3,ram,right,0,0,0,0,0,0,0,0,0,0,0,0
3,4,bare,bot,0,0,0,0,11,3,0,0,19,8,0,0
3,5,bare,bot,1,1,0,0,0,0,0,0,0,0,0,0
3,5,ram,left,1,0,0,0,13,5,0,0,7,0,0,0
3,5,cca,right,2,13,0,0,1,4,0,0,2,8,0,4
3,6,ram,bot,0,0,2,0,1,0,12,0,4,0,6,0
3,7,bare,top,4,3,0,0,1,4,0,0,1,2,0,0
3,7,ram,left,0,0,1,0,16,0,3,0,5,0,0,0
3,7,cca,right,0,1,0,0,0,0,0,0,0,0,0,0
3,8,cca,bot,0,5,0,0,0,9,0,0,1,7,0,0
3,8,ram,left,0,0,0,0,0,0,0,0,0,0,0,0
3,8,bare,right,4,0,0,0,2,0,0,0,0,0,0,0
3,9,ram,bot,1,8,4,0,6,4,0,0,3,5,2,0
3,9,cca,left,0,5,0,0,7,4,0,0,2,8,0,0
3,9,bare,right,0,0,0,0,0,0,0,0,7,0,0,0
6,1,cca,top,2,36,0,4,4,37,0,1,4,22,0,2
6,2,cca,top,4,23,0,3,0,7,0,7,5,6,0,0
6,2,bare,left,1,0,0,0,0,0,0,0,0,0,0,0
6,2,ram,right,0,0,1,0,12,17,0,0,2,1,0,0
6,3,bare,top,10,0,0,0,5,0,0,0,19,1,0,0
6,3,cca,left,20,12,0,1,5,4,0,1,2,3,0,1
6,3,ram,right,0,0,2,0,0,0,0,0,0,0,0,0
6,4,bare,bot,0,0,0,0,11,7,0,0,31,3,0,0
6,5,bare,bot,4,0,0,0,0,1,0,0,1,0,0,0
6,5,ram,left,0,0,0,0,16,4,0,0,1,0,0,0
6,5,cca,right,3,17,0,0,6,4,0,0,8,9,0,0
6,6,ram,bot,0,3,0,0,10,0,12,0,0,14,10,0
6,7,bare,top,9,6,0,0,1,9,0,0,2,0,0,0
6,7,ram,left,0,0,1,0,8,0,3,0,15,0,1,0
6,7,cca,right,0,2,0,0,0,0,0,0,0,0,0,0
6,8,cca,bot,1,10,0,0,2,9,0,0,0,7,0,0
6,8,ram,left,0,0,0,0,1,0,0,0,0,0,0,0
6,8,bare,right,4,0,0,0,5,0,0,0,0,0,0,0
6,9,ram,bot,2,9,4,0,6,5,1,0,12,3,2,0
6,9,cca,left,0,7,0,0,2,4,0,0,5,11,0,0
6,9,bare,right,0,0,0,0,1,0,0,0,0,0,0,0
12,1,cca,top,0,35,0,2,2,36,0,2,0,16,0,1
12,2,cca,top,8,29,0,2,6,7,0,5,1,2,0,0
12,2,bare,left,1,0,0,0,0,0,0,0,0,0,0,0
12,2,ram,right,0,0,1,0,9,19,0,0,1,1,0,0
12,3,bare,top,10,0,0,0,16,0,0,0,20,2,0,0
12,3,cca,left,15,12,0,2,6,7,0,0,1,5,0,0
12,3,ram,right,0,0,2,0,1,0,0,0,0,0,0,0
12,4,bare,bot,1,0,0,0,8,9,0,0,28,5,0,0
12,5,bare,bot,4,0,0,0,1,0,0,0,0,0,0,0
12,5,ram,left,0,0,0,0,17,4,0,0,1,0,0,0
12,5,cca,right,3,18,0,0,7,2,0,0,8,3,0,0
12,6,ram,bot,0,4,0,0,11,0,1,0,2,0,0,0
12,7,bare,top,7,11,0,0,2,8,0,0,2,0,0,0
12,7,ram,left,0,0,1,0,2,0,12,0,1,0,0,0
12,7,cca,right,1,2,0,0,1,0,0,0,1,2,0,0
12,9,ram,bot,5,8,4,0,3,4,0,0,6,2,6,0
12,9,cca,left,1,4,0,0,8,9,0,0,0,4,0,0
12,9,bare,right,0,0,0,0,0,0,0,0,0,0,0,0
16,1,cca,top,1,32,0,2,1,31,0,1,2,16,0,1
16,2,cca,top,6,30,0,3,8,8,0,0,4,2,0,0
16,2,bare,left,1,0,0,0,0,0,0,0,0,0,0,0
16,2,ram,right,0,1,0,0,7,22,0,0,1,1,0,0
16,3,bare,top,10,0,0,0,16,0,0,0,15,1,0,0
16,3,cca,left,14,12,0,2,6,6,0,0,1,4,0,0
16,3,ram,right,0,0,1,0,0,0,0,0,0,0,0,0
16,4,bare,bot,1,0,0,0,9,5,0,0,22,5,0,0
16,5,bare,bot,4,0,0,0,1,0,0,0,0,0,0,0
16,5,ram,left,0,0,0,0,17,4,0,0,1,0,0,0
16,5,cca,right,1,17,0,0,4,2,0,0,8,4,0,0
16,6,ram,bot,0,2,0,0,3,0,1,0,0,0,0,0
16,7,bare,top,5,7,0,0,2,5,0,0,0,0,0,0
16,7,ram,left,0,0,1,0,13,0,2,0,1,0,0,0
16,7,cca,right,1,2,0,0,0,1,0,0,0,2,0,0
16,9,ram,bot,4,8,4,0,5,6,0,0,9,2,6,0
16,9,cca,left,0,3,0,0,2,6,0,0,4,8,0,0
16,9,bare,right,0,0,0,0,0,0,0,0,0,0,0,0
20,1,cca,top,1,28,0,2,3,38,0,1,4,7,0,0
20,2,cca,top,6,30,0,3,5,13,0,0,3,2,0,0
20,2,bare,left,1,0,0,0,0,0,0,0,0,0,0,0
20,2,ram,right,0,1,0,0,12,21,0,0,0,0,0,0
20,3,bare,top,9,0,0,0,19,0,0,0,18,2,0,0
20,3,cca,left,14,12,0,0,7,4,0,0,2,5,0,0
20,3,ram,right,0,0,1,0,0,0,0,0,0,0,0,0
20,4,bare,bot,1,0,0,0,9,7,0,0,20,5,0,0
20,5,bare,bot,4,0,0,0,1,0,0,0,0,0,0,0
20,5,ram,left,0,0,0,0,17,4,0,0,0,0,0,0
20,5,cca,right,1,17,0,0,3,3,0,0,8,4,0,0
20,6,ram,bot,0,0,0,0,3,0,1,0,0,0,0,0
20,7,bare,top,6,9,0,0,2,5,0,0,0,0,0,0
20,7,ram,left,0,0,1,0,15,0,2,0,2,0,0,0
20,7,cca,right,2,2,0,0,0,0,0,0,2,1,0,0
20,9,ram,bot,5,7,1,0,5,4,0,0,1,2,5,0
20,9,cca,left,0,3,0,0,3,4,0,0,0,7,0,0
20,9,bare,right,0,0,0,0,0,0,0,0,0,0,0,0
26,1,cca,top,4,19,0,2,2,25,0,3,3,6,0,0
26,2,cca,top,10,24,0,1,5,11,0,4,2,3,0,0
26,2,bare,left,1,0,0,0,0,0,0,0,0,0,0,0
26,2,ram,right,0,1,0,0,11,17,0,0,2,0,0,0
26,3,bare,top,6,0,0,0,15,0,0,0,16,2,0,0
26,3,cca,left,15,12,0,1,6,4,0,0,1,5,0,0
26,3,ram,right,0,0,0,0,0,0,1,0,0,0,0,0
26,4,bare,bot,1,0,0,0,9,6,0,0,17,2,0,0
26,5,bare,bot,3,1,0,0,1,0,0,0,0,0,0,0
26,5,ram,left,0,0,0,0,17,3,0,0,0,0,0,0
26,5,cca,right,1,9,0,0,3,3,0,0,6,5,0,0
26,6,ram,bot,0,0,0,0,0,0,0,0,0,0,1,0
26,7,bare,top,6,4,0,0,4,3,0,0,0,0,0,0
26,7,ram,left,0,0,2,0,17,0,2,0,2,0,0,0
26,7,cca,right,2,2,0,0,0,2,0,0,1,1,0,0
26,9,ram,bot,5,5,2,0,1,5,3,0,11,1,4,0
26,9,cca,left,0,2,0,0,2,6,0,0,0,3,0,0
26,9,bare,right,0,0,0,0,0,0,0,0,0,0,0,0
